0/6090, t=0.200031s
1/6090, t=0.203364s
2/6090, t=0.206698s
3/6090, t=0.210031s
4/6090, t=0.213364s
5/6090, t=0.216698s
6/6090, t=0.220031s
7/6090, t=0.223364s
8/6090, t=0.226698s
9/6090, t=0.230031s
10/6090, t=0.233364s
11/6090, t=0.236698s
12/6090, t=0.240031s
13/6090, t=0.243364s
14/6090, t=0.246698s
15/6090, t=0.250031s
16/6090, t=0.253364s
17/6090, t=0.256698s
18/6090, t=0.260031s
19/6090, t=0.263364s
20/6090, t=0.266698s
21/6090, t=0.270031s
22/6090, t=0.273364s
23/6090, t=0.276698s
24/6090, t=0.280031s
25/6090, t=0.283364s
26/6090, t=0.286698s
27/6090, t=0.290031s
28/6090, t=0.293364s
29/6090, t=0.296698s
30/6090, t=0.300031s
31/6090, t=0.303364s
32/6090, t=0.306698s
33/6090, t=0.310031s
34/6090, t=0.313364s
35/6090, t=0.316698s
36/6090, t=0.320031s
37/6090, t=0.323364s
38/6090, t=0.326698s
39/6090, t=0.330031s
40/6090, t=0.333364s
41/6090, t=0.336698s
42/6090, t=0.340031s
43/6090, t=0.343364s
44/6090, t=0.346698s
45/6090, t=0.350031s
46/6090, t=0.350064s
47/6090, t=0.350098s
48/6090, t=0.350131s
49/6090, t=0.350164s
50/6090, t=0.350198s
51/6090, t=0.350231s
52/6090, t=0.350264s
53/6090, t=0.350298s
54/6090, t=0.350331s
55/6090, t=0.350364s
56/6090, t=0.350398s
57/6090, t=0.350431s
58/6090, t=0.350464s
59/6090, t=0.350498s
60/6090, t=0.350531s
61/6090, t=0.350564s
62/6090, t=0.350598s
63/6090, t=0.350631s
64/6090, t=0.350664s
65/6090, t=0.350698s
66/6090, t=0.350731s
67/6090, t=0.350764s
68/6090, t=0.350798s
69/6090, t=0.350831s
70/6090, t=0.350864s
71/6090, t=0.350898s
72/6090, t=0.350931s
73/6090, t=0.350964s
74/6090, t=0.350998s
75/6090, t=0.351031s
76/6090, t=0.351064s
77/6090, t=0.351098s
78/6090, t=0.351131s
79/6090, t=0.351164s
80/6090, t=0.351198s
81/6090, t=0.351231s
82/6090, t=0.351264s
83/6090, t=0.351298s
84/6090, t=0.351331s
85/6090, t=0.351364s
86/6090, t=0.351398s
87/6090, t=0.351431s
88/6090, t=0.351464s
89/6090, t=0.351498s
90/6090, t=0.351531s
91/6090, t=0.351564s
92/6090, t=0.351598s
93/6090, t=0.351631s
94/6090, t=0.351664s
95/6090, t=0.351698s
96/6090, t=0.351731s
97/6090, t=0.351764s
98/6090, t=0.351798s
99/6090, t=0.351831s
100/6090, t=0.351864s
101/6090, t=0.351898s
102/6090, t=0.351931s
103/6090, t=0.351964s
104/6090, t=0.351998s
105/6090, t=0.352031s
106/6090, t=0.352064s
107/6090, t=0.352098s
108/6090, t=0.352131s
109/6090, t=0.352164s
110/6090, t=0.352198s
111/6090, t=0.352231s
112/6090, t=0.352264s
113/6090, t=0.352298s
114/6090, t=0.352331s
115/6090, t=0.352364s
116/6090, t=0.352398s
117/6090, t=0.352431s
118/6090, t=0.352464s
119/6090, t=0.352498s
120/6090, t=0.352531s
121/6090, t=0.352564s
122/6090, t=0.352598s
123/6090, t=0.352631s
124/6090, t=0.352664s
125/6090, t=0.352698s
126/6090, t=0.352731s
127/6090, t=0.352764s
128/6090, t=0.352798s
129/6090, t=0.352831s
130/6090, t=0.352864s
