0/11594, t=0.200036s
1/11594, t=0.203369s
2/11594, t=0.206703s
3/11594, t=0.210036s
4/11594, t=0.213369s
5/11594, t=0.216703s
6/11594, t=0.220036s
7/11594, t=0.223369s
8/11594, t=0.226703s
9/11594, t=0.230036s
10/11594, t=0.233369s
11/11594, t=0.236703s
12/11594, t=0.240036s
13/11594, t=0.243369s
14/11594, t=0.246703s
15/11594, t=0.250036s
16/11594, t=0.250069s
17/11594, t=0.250103s
18/11594, t=0.250136s
19/11594, t=0.250169s
20/11594, t=0.250203s
21/11594, t=0.250236s
22/11594, t=0.250269s
23/11594, t=0.250303s
24/11594, t=0.250336s
25/11594, t=0.250369s
26/11594, t=0.250403s
27/11594, t=0.250436s
28/11594, t=0.250469s
29/11594, t=0.250503s
30/11594, t=0.250536s
31/11594, t=0.250569s
32/11594, t=0.250603s
33/11594, t=0.250636s
34/11594, t=0.250669s
35/11594, t=0.250703s
36/11594, t=0.250736s
37/11594, t=0.250769s
38/11594, t=0.250803s
39/11594, t=0.250836s
40/11594, t=0.250869s
41/11594, t=0.250903s
42/11594, t=0.250936s
43/11594, t=0.250969s
44/11594, t=0.251003s
45/11594, t=0.251036s
46/11594, t=0.251069s
47/11594, t=0.251103s
48/11594, t=0.251136s
49/11594, t=0.251169s
50/11594, t=0.251203s
51/11594, t=0.251236s
52/11594, t=0.251269s
53/11594, t=0.251303s
54/11594, t=0.251336s
55/11594, t=0.251369s
56/11594, t=0.251403s
57/11594, t=0.251436s
58/11594, t=0.251469s
59/11594, t=0.251503s
60/11594, t=0.251536s
61/11594, t=0.251569s
62/11594, t=0.251603s
63/11594, t=0.251636s
64/11594, t=0.251669s
65/11594, t=0.251703s
66/11594, t=0.251736s
67/11594, t=0.251769s
68/11594, t=0.251803s
69/11594, t=0.251836s
70/11594, t=0.251869s
71/11594, t=0.251903s
72/11594, t=0.251936s
73/11594, t=0.251969s
74/11594, t=0.252003s
75/11594, t=0.252036s
76/11594, t=0.252069s
77/11594, t=0.252103s
78/11594, t=0.252136s
79/11594, t=0.252169s
80/11594, t=0.252203s
81/11594, t=0.252236s
82/11594, t=0.252269s
83/11594, t=0.252303s
84/11594, t=0.252336s
85/11594, t=0.252369s
86/11594, t=0.252403s
87/11594, t=0.252436s
88/11594, t=0.252469s
89/11594, t=0.252503s
90/11594, t=0.252536s
91/11594, t=0.252569s
92/11594, t=0.252603s
93/11594, t=0.252636s
94/11594, t=0.252669s
95/11594, t=0.252703s
96/11594, t=0.252736s
97/11594, t=0.252769s
98/11594, t=0.252803s
99/11594, t=0.252836s
100/11594, t=0.252869s
101/11594, t=0.252903s
102/11594, t=0.252936s
103/11594, t=0.252969s
104/11594, t=0.253003s
105/11594, t=0.253036s
106/11594, t=0.253069s
107/11594, t=0.253103s
108/11594, t=0.253136s
109/11594, t=0.253169s
110/11594, t=0.253203s
111/11594, t=0.253236s
112/11594, t=0.253269s
113/11594, t=0.253303s
114/11594, t=0.253336s
115/11594, t=0.253369s
116/11594, t=0.253403s
117/11594, t=0.253436s
118/11594, t=0.253469s
119/11594, t=0.253503s
120/11594, t=0.253536s
121/11594, t=0.253569s
122/11594, t=0.253603s
123/11594, t=0.253636s
124/11594, t=0.253669s
125/11594, t=0.253703s
126/11594, t=0.253736s
127/11594, t=0.253769s
128/11594, t=0.253803s
129/11594, t=0.253836s
130/11594, t=0.253869s
131/11594, t=0.253903s
132/11594, t=0.253936s
133/11594, t=0.253969s
134/11594, t=0.254003s
135/11594, t=0.254036s
136/11594, t=0.254069s
137/11594, t=0.254103s
138/11594, t=0.254136s
139/11594, t=0.254169s
140/11594, t=0.254203s
141/11594, t=0.254236s
142/11594, t=0.254269s
143/11594, t=0.254303s
144/11594, t=0.254336s
145/11594, t=0.254369s
146/11594, t=0.254403s
147/11594, t=0.254436s
148/11594, t=0.254469s
149/11594, t=0.254503s
150/11594, t=0.254536s
151/11594, t=0.254569s
152/11594, t=0.254603s
153/11594, t=0.254636s
154/11594, t=0.254669s
155/11594, t=0.254703s
156/11594, t=0.254736s
157/11594, t=0.254769s
158/11594, t=0.254803s
159/11594, t=0.254836s
160/11594, t=0.254869s
161/11594, t=0.254903s
162/11594, t=0.254936s
163/11594, t=0.254969s
164/11594, t=0.255003s
165/11594, t=0.255036s
166/11594, t=0.255069s
167/11594, t=0.255103s
168/11594, t=0.255136s
169/11594, t=0.255169s
170/11594, t=0.255203s
171/11594, t=0.255236s
172/11594, t=0.255269s
173/11594, t=0.255303s
174/11594, t=0.255336s
175/11594, t=0.255369s
176/11594, t=0.255403s
177/11594, t=0.255436s
178/11594, t=0.255469s
179/11594, t=0.255503s
180/11594, t=0.255536s
181/11594, t=0.255569s
182/11594, t=0.255603s
183/11594, t=0.255636s
184/11594, t=0.255669s
185/11594, t=0.255703s
186/11594, t=0.255736s
187/11594, t=0.255769s
188/11594, t=0.255803s
189/11594, t=0.255836s
190/11594, t=0.255869s
191/11594, t=0.255903s
192/11594, t=0.255936s
193/11594, t=0.255969s
194/11594, t=0.256003s
195/11594, t=0.256036s
196/11594, t=0.256069s
197/11594, t=0.256103s
198/11594, t=0.256136s
199/11594, t=0.256169s
200/11594, t=0.256203s
201/11594, t=0.256236s
202/11594, t=0.256269s
203/11594, t=0.256303s
204/11594, t=0.256336s
205/11594, t=0.256369s
206/11594, t=0.256403s
207/11594, t=0.256436s
208/11594, t=0.256469s
209/11594, t=0.256503s
210/11594, t=0.256536s
211/11594, t=0.256569s
212/11594, t=0.256603s
213/11594, t=0.256636s
214/11594, t=0.256669s
215/11594, t=0.256703s
216/11594, t=0.256736s
217/11594, t=0.256769s
218/11594, t=0.256803s
219/11594, t=0.256836s
220/11594, t=0.256869s
221/11594, t=0.256903s
222/11594, t=0.256936s
223/11594, t=0.256969s
224/11594, t=0.257003s
225/11594, t=0.257036s
226/11594, t=0.257069s
227/11594, t=0.257103s
228/11594, t=0.257136s
229/11594, t=0.257169s
230/11594, t=0.257203s
231/11594, t=0.257236s
232/11594, t=0.257269s
233/11594, t=0.257303s
234/11594, t=0.257336s
235/11594, t=0.257369s
236/11594, t=0.257403s
237/11594, t=0.257436s
238/11594, t=0.257469s
239/11594, t=0.257503s
240/11594, t=0.257536s
241/11594, t=0.257569s
242/11594, t=0.257603s
243/11594, t=0.257636s
244/11594, t=0.257669s
245/11594, t=0.257703s
246/11594, t=0.257736s
247/11594, t=0.257769s
248/11594, t=0.257803s
249/11594, t=0.257836s
250/11594, t=0.257869s
251/11594, t=0.257903s
252/11594, t=0.257936s
253/11594, t=0.257969s
254/11594, t=0.258003s
255/11594, t=0.258036s
256/11594, t=0.258069s
257/11594, t=0.258103s
258/11594, t=0.258136s
259/11594, t=0.258169s
260/11594, t=0.258203s
261/11594, t=0.258236s
262/11594, t=0.258269s
263/11594, t=0.258303s
264/11594, t=0.258336s
265/11594, t=0.258369s
266/11594, t=0.258403s
267/11594, t=0.258436s
268/11594, t=0.258469s
269/11594, t=0.258503s
270/11594, t=0.258536s
271/11594, t=0.258569s
272/11594, t=0.258603s
273/11594, t=0.258636s
274/11594, t=0.258669s
275/11594, t=0.258703s
276/11594, t=0.258736s
277/11594, t=0.258769s
278/11594, t=0.258803s
279/11594, t=0.258836s
280/11594, t=0.258869s
281/11594, t=0.258903s
282/11594, t=0.258936s
283/11594, t=0.258969s
284/11594, t=0.259003s
285/11594, t=0.259036s
286/11594, t=0.259069s
287/11594, t=0.259103s
288/11594, t=0.259136s
289/11594, t=0.259169s
290/11594, t=0.259203s
291/11594, t=0.259236s
292/11594, t=0.259269s
293/11594, t=0.259303s
294/11594, t=0.259336s
295/11594, t=0.259369s
296/11594, t=0.259403s
297/11594, t=0.259436s
298/11594, t=0.259469s
299/11594, t=0.259503s
300/11594, t=0.259536s
301/11594, t=0.259569s
302/11594, t=0.259603s
303/11594, t=0.259636s
304/11594, t=0.259669s
305/11594, t=0.259703s
306/11594, t=0.259736s
307/11594, t=0.259769s
308/11594, t=0.259803s
309/11594, t=0.259836s
310/11594, t=0.259869s
311/11594, t=0.259903s
312/11594, t=0.259936s
313/11594, t=0.259969s
314/11594, t=0.260003s
315/11594, t=0.260036s
316/11594, t=0.260069s
317/11594, t=0.260103s
318/11594, t=0.260136s
319/11594, t=0.260169s
320/11594, t=0.260203s
321/11594, t=0.260236s
322/11594, t=0.260269s
323/11594, t=0.260303s
324/11594, t=0.260336s
325/11594, t=0.260369s
326/11594, t=0.260403s
327/11594, t=0.260436s
328/11594, t=0.260469s
329/11594, t=0.260503s
330/11594, t=0.260536s
331/11594, t=0.260569s
332/11594, t=0.260603s
333/11594, t=0.260636s
334/11594, t=0.260669s
335/11594, t=0.260703s
336/11594, t=0.260736s
337/11594, t=0.260769s
338/11594, t=0.260803s
339/11594, t=0.260836s
340/11594, t=0.260869s
341/11594, t=0.260903s
342/11594, t=0.260936s
343/11594, t=0.260969s
344/11594, t=0.261003s
345/11594, t=0.261036s
346/11594, t=0.261069s
347/11594, t=0.261103s
348/11594, t=0.261136s
349/11594, t=0.261169s
350/11594, t=0.261203s
351/11594, t=0.261236s
352/11594, t=0.261269s
353/11594, t=0.261303s
354/11594, t=0.261336s
355/11594, t=0.261369s
356/11594, t=0.261403s
357/11594, t=0.261436s
358/11594, t=0.261469s
359/11594, t=0.261503s
360/11594, t=0.261536s
361/11594, t=0.261569s
362/11594, t=0.261603s
363/11594, t=0.261636s
364/11594, t=0.261669s
365/11594, t=0.261703s
366/11594, t=0.261736s
367/11594, t=0.261769s
368/11594, t=0.261803s
369/11594, t=0.261836s
370/11594, t=0.261869s
371/11594, t=0.261903s
372/11594, t=0.261936s
373/11594, t=0.261969s
374/11594, t=0.262003s
375/11594, t=0.262036s
376/11594, t=0.262069s
377/11594, t=0.262103s
378/11594, t=0.262136s
379/11594, t=0.262169s
380/11594, t=0.262203s
381/11594, t=0.262236s
382/11594, t=0.262269s
383/11594, t=0.262303s
384/11594, t=0.262336s
385/11594, t=0.262369s
386/11594, t=0.262403s
387/11594, t=0.262436s
388/11594, t=0.262469s
389/11594, t=0.262503s
390/11594, t=0.262536s
391/11594, t=0.262569s
392/11594, t=0.262603s
393/11594, t=0.262636s
394/11594, t=0.262669s
395/11594, t=0.262703s
396/11594, t=0.262736s
397/11594, t=0.262769s
398/11594, t=0.262803s
399/11594, t=0.262836s
400/11594, t=0.262869s
401/11594, t=0.262903s
402/11594, t=0.262936s
403/11594, t=0.262969s
404/11594, t=0.263003s
405/11594, t=0.263036s
406/11594, t=0.263069s
407/11594, t=0.263103s
408/11594, t=0.263136s
409/11594, t=0.263169s
410/11594, t=0.263203s
411/11594, t=0.263236s
412/11594, t=0.263269s
413/11594, t=0.263303s
414/11594, t=0.263336s
415/11594, t=0.263369s
416/11594, t=0.263403s
417/11594, t=0.263436s
418/11594, t=0.263469s
419/11594, t=0.263503s
420/11594, t=0.263536s
421/11594, t=0.263569s
422/11594, t=0.263603s
423/11594, t=0.263636s
424/11594, t=0.263669s
425/11594, t=0.263703s
426/11594, t=0.263736s
427/11594, t=0.263769s
428/11594, t=0.263803s
429/11594, t=0.263836s
430/11594, t=0.263869s
431/11594, t=0.263903s
432/11594, t=0.263936s
433/11594, t=0.263969s
434/11594, t=0.264003s
435/11594, t=0.264036s
436/11594, t=0.264069s
437/11594, t=0.264103s
438/11594, t=0.264136s
439/11594, t=0.264169s
440/11594, t=0.264203s
441/11594, t=0.264236s
442/11594, t=0.264269s
443/11594, t=0.264303s
444/11594, t=0.264336s
445/11594, t=0.264369s
446/11594, t=0.264403s
447/11594, t=0.264436s
448/11594, t=0.264469s
449/11594, t=0.264503s
450/11594, t=0.264536s
451/11594, t=0.264569s
452/11594, t=0.264603s
453/11594, t=0.264636s
454/11594, t=0.264669s
455/11594, t=0.264703s
456/11594, t=0.264736s
457/11594, t=0.264769s
458/11594, t=0.264803s
459/11594, t=0.264836s
460/11594, t=0.264869s
461/11594, t=0.264903s
462/11594, t=0.264936s
463/11594, t=0.264969s
464/11594, t=0.265003s
465/11594, t=0.265036s
466/11594, t=0.265069s
467/11594, t=0.265103s
468/11594, t=0.265136s
469/11594, t=0.265169s
470/11594, t=0.265203s
471/11594, t=0.265236s
472/11594, t=0.265269s
473/11594, t=0.265303s
474/11594, t=0.265336s
475/11594, t=0.265369s
476/11594, t=0.265403s
477/11594, t=0.265436s
478/11594, t=0.265469s
479/11594, t=0.265503s
480/11594, t=0.265536s
481/11594, t=0.265569s
482/11594, t=0.265603s
483/11594, t=0.265636s
484/11594, t=0.265669s
485/11594, t=0.265703s
486/11594, t=0.265736s
487/11594, t=0.265769s
488/11594, t=0.265803s
489/11594, t=0.265836s
490/11594, t=0.265869s
491/11594, t=0.265903s
492/11594, t=0.265936s
493/11594, t=0.265969s
494/11594, t=0.266003s
495/11594, t=0.266036s
496/11594, t=0.266069s
497/11594, t=0.266103s
498/11594, t=0.266136s
499/11594, t=0.266169s
500/11594, t=0.266203s
501/11594, t=0.266236s
502/11594, t=0.266269s
503/11594, t=0.266303s
504/11594, t=0.266336s
505/11594, t=0.266369s
506/11594, t=0.266403s
507/11594, t=0.266436s
508/11594, t=0.266469s
509/11594, t=0.266503s
510/11594, t=0.266536s
511/11594, t=0.266569s
512/11594, t=0.266603s
513/11594, t=0.266636s
514/11594, t=0.266669s
515/11594, t=0.266703s
516/11594, t=0.266736s
