0/10514, t=0.200036s
1/10514, t=0.203369s
2/10514, t=0.206703s
3/10514, t=0.210036s
4/10514, t=0.213369s
5/10514, t=0.216703s
6/10514, t=0.220036s
7/10514, t=0.223369s
8/10514, t=0.226703s
9/10514, t=0.230036s
10/10514, t=0.233369s
11/10514, t=0.236703s
12/10514, t=0.240036s
13/10514, t=0.243369s
14/10514, t=0.246703s
15/10514, t=0.250036s
16/10514, t=0.250069s
17/10514, t=0.250103s
18/10514, t=0.250136s
19/10514, t=0.250169s
20/10514, t=0.250203s
21/10514, t=0.250236s
22/10514, t=0.250269s
23/10514, t=0.250303s
24/10514, t=0.250336s
25/10514, t=0.250369s
26/10514, t=0.250403s
27/10514, t=0.250436s
28/10514, t=0.250469s
29/10514, t=0.250503s
30/10514, t=0.250536s
31/10514, t=0.250569s
32/10514, t=0.250603s
33/10514, t=0.250636s
34/10514, t=0.250669s
35/10514, t=0.250703s
36/10514, t=0.250736s
37/10514, t=0.250769s
38/10514, t=0.250803s
39/10514, t=0.250836s
40/10514, t=0.250869s
41/10514, t=0.250903s
42/10514, t=0.250936s
43/10514, t=0.250969s
44/10514, t=0.251003s
45/10514, t=0.251036s
46/10514, t=0.251069s
47/10514, t=0.251103s
48/10514, t=0.251136s
49/10514, t=0.251169s
50/10514, t=0.251203s
51/10514, t=0.251236s
52/10514, t=0.251269s
53/10514, t=0.251303s
54/10514, t=0.251336s
55/10514, t=0.251369s
56/10514, t=0.251403s
57/10514, t=0.251436s
58/10514, t=0.251469s
59/10514, t=0.251503s
60/10514, t=0.251536s
61/10514, t=0.251569s
62/10514, t=0.251603s
63/10514, t=0.251636s
64/10514, t=0.251669s
65/10514, t=0.251703s
66/10514, t=0.251736s
67/10514, t=0.251769s
68/10514, t=0.251803s
69/10514, t=0.251836s
70/10514, t=0.251869s
71/10514, t=0.251903s
72/10514, t=0.251936s
73/10514, t=0.251969s
74/10514, t=0.252003s
75/10514, t=0.252036s
76/10514, t=0.252069s
77/10514, t=0.252103s
78/10514, t=0.252136s
79/10514, t=0.252169s
80/10514, t=0.252203s
81/10514, t=0.252236s
82/10514, t=0.252269s
83/10514, t=0.252303s
84/10514, t=0.252336s
85/10514, t=0.252369s
86/10514, t=0.252403s
87/10514, t=0.252436s
88/10514, t=0.252469s
89/10514, t=0.252503s
90/10514, t=0.252536s
91/10514, t=0.252569s
92/10514, t=0.252603s
93/10514, t=0.252636s
94/10514, t=0.252669s
95/10514, t=0.252703s
96/10514, t=0.252736s
97/10514, t=0.252769s
98/10514, t=0.252803s
99/10514, t=0.252836s
100/10514, t=0.252869s
101/10514, t=0.252903s
102/10514, t=0.252936s
103/10514, t=0.252969s
104/10514, t=0.253003s
105/10514, t=0.253036s
106/10514, t=0.253069s
107/10514, t=0.253103s
108/10514, t=0.253136s
109/10514, t=0.253169s
110/10514, t=0.253203s
111/10514, t=0.253236s
112/10514, t=0.253269s
113/10514, t=0.253303s
114/10514, t=0.253336s
115/10514, t=0.253369s
116/10514, t=0.253403s
117/10514, t=0.253436s
118/10514, t=0.253469s
119/10514, t=0.253503s
120/10514, t=0.253536s
121/10514, t=0.253569s
122/10514, t=0.253603s
123/10514, t=0.253636s
124/10514, t=0.253669s
125/10514, t=0.253703s
126/10514, t=0.253736s
127/10514, t=0.253769s
128/10514, t=0.253803s
129/10514, t=0.253836s
130/10514, t=0.253869s
131/10514, t=0.253903s
132/10514, t=0.253936s
133/10514, t=0.253969s
134/10514, t=0.254003s
135/10514, t=0.254036s
136/10514, t=0.254069s
137/10514, t=0.254103s
138/10514, t=0.254136s
139/10514, t=0.254169s
140/10514, t=0.254203s
141/10514, t=0.254236s
142/10514, t=0.254269s
143/10514, t=0.254303s
144/10514, t=0.254336s
145/10514, t=0.254369s
146/10514, t=0.254403s
147/10514, t=0.254436s
148/10514, t=0.254469s
149/10514, t=0.254503s
150/10514, t=0.254536s
151/10514, t=0.254569s
152/10514, t=0.254603s
153/10514, t=0.254636s
154/10514, t=0.254669s
155/10514, t=0.254703s
156/10514, t=0.254736s
157/10514, t=0.254769s
158/10514, t=0.254803s
159/10514, t=0.254836s
160/10514, t=0.254869s
161/10514, t=0.254903s
162/10514, t=0.254936s
163/10514, t=0.254969s
164/10514, t=0.255003s
165/10514, t=0.255036s
166/10514, t=0.255069s
167/10514, t=0.255103s
168/10514, t=0.255136s
169/10514, t=0.255169s
170/10514, t=0.255203s
171/10514, t=0.255236s
172/10514, t=0.255269s
173/10514, t=0.255303s
174/10514, t=0.255336s
175/10514, t=0.255369s
176/10514, t=0.255403s
177/10514, t=0.255436s
178/10514, t=0.255469s
179/10514, t=0.255503s
180/10514, t=0.255536s
181/10514, t=0.255569s
182/10514, t=0.255603s
183/10514, t=0.255636s
184/10514, t=0.255669s
185/10514, t=0.255703s
186/10514, t=0.255736s
187/10514, t=0.255769s
188/10514, t=0.255803s
189/10514, t=0.255836s
190/10514, t=0.255869s
191/10514, t=0.255903s
192/10514, t=0.255936s
193/10514, t=0.255969s
194/10514, t=0.256003s
195/10514, t=0.256036s
196/10514, t=0.256069s
197/10514, t=0.256103s
198/10514, t=0.256136s
199/10514, t=0.256169s
200/10514, t=0.256203s
201/10514, t=0.256236s
202/10514, t=0.256269s
203/10514, t=0.256303s
204/10514, t=0.256336s
205/10514, t=0.256369s
206/10514, t=0.256403s
207/10514, t=0.256436s
208/10514, t=0.256469s
209/10514, t=0.256503s
210/10514, t=0.256536s
211/10514, t=0.256569s
212/10514, t=0.256603s
213/10514, t=0.256636s
214/10514, t=0.256669s
215/10514, t=0.256703s
216/10514, t=0.256736s
217/10514, t=0.256769s
218/10514, t=0.256803s
219/10514, t=0.256836s
220/10514, t=0.256869s
221/10514, t=0.256903s
222/10514, t=0.256936s
223/10514, t=0.256969s
224/10514, t=0.257003s
225/10514, t=0.257036s
226/10514, t=0.257069s
227/10514, t=0.257103s
228/10514, t=0.257136s
229/10514, t=0.257169s
230/10514, t=0.257203s
231/10514, t=0.257236s
232/10514, t=0.257269s
233/10514, t=0.257303s
234/10514, t=0.257336s
235/10514, t=0.257369s
236/10514, t=0.257403s
237/10514, t=0.257436s
